sentence_a,sentence_b,answer
Sounds like you have a great idea for developing linguistics software!,"To some extent, there are rules you can apply to pronounce, say, teaching based on the known pronunciation of teach.",0
It sounds like what you are really looking for is linguistic evidence of a Semitic substrate in Old English.,The Balkan sprachbund is a group of languages which have interspersed grammatical features among each other.,1
"With some help from Rocío, I have found a fairly useful resource (in the bibliography of Greenberg).","When writing my dissertation about Language and Identity I found these two references: Bugarski, R. (1997).",0
"There's a lot of types of signed languages (some more like sign vocabularies), so not all have the same properties.",The biggest problem with signing is that  you can't talk to a person without first getting their attention.,1
Taiwan's economy grows 2.27% in April-June quarter,China's economic growth rebounds to 7.8% in latest quarter,1
Pakistan fighter jets bomb 'Taliban hideouts',Pakistan wants arms supply to Syrian sides stopped,1
"Sisi sworn in as Egypt's president, cool reception from West",Egypt‚Äôs Sisi sworn in as president,4
British tourist killed in Malaysia diving accident,Lawyer killed in boating accident,0
Guatemalan court finds former dictator guilty of genocide,Guatemala's former leader found guilty of genocide,5
Developing nations: Qatar insists on World Cup promise,Fresh corruption claims on Qatar World Cup,1
Red panda‚Äôs short-lived zoo escape,India‚Äôs march to Mars,0
Israeli doctors could be tried abroad for force-feeding Palestinian prisoners,Israel's West Bank control 'costing Palestinian economy billions',0
Declines in US stock market moderate,Tech sell-off sends Asian stock markets lower,0
Queen pays tribute to Nelson Mandela,South Africa's rugby fraternity mourns Mandela,0
Defence in South Korea ferry trial warns of scapegoating,Defence in ferry trial warns of scapegoating,3
11:42 Churchill's last child dies aged 91,Churchill's youngest child Lady Soames dies aged 91,3
A child is walking from one picnic table to another.,The boy hops from one picnic table to the other in the park.,2
A dog in the snow.,Two dogs in snow.,2
A group of seven people are rafting in the rapids in a green boat.,A group of people are standing and sitting around on the ground at night.,0
A man wearing US flag boxer shorts is standing on a stairway.,A woman wearing a white shirt stands on the street.,0
the police squad rode bicycles alongside the car.,she then said she could not give me their number.,0
he said the problem is the uk does not have a plan for renewing road surfaces.,ds said they were played a tune on the piano and had to him it back.,0
"apples are one of the most heavily sprayed crops (even in the us), so it's better all around.","@edgarblythe, one of the most fiery (and dangerous) people i've known absolutely laid down when death was coming.",0
"if the government provides health care, whether spelled out in this bill or not, it will ration the care.","and the new government often pays attention to improving the lot of its citizens, at least for a while.",0
A brown and white dog runs with a tennis ball in its mouth.,A black and brown dog is running with a tennis ball in its mouth.,3
A person wearing jeans sits on top of a horse saddle.,The girl is sitting on top of a saddle.,2
The woman is holding the harness that the brown and white dog is wearing.,A man and woman are looking at artwork that is on easels and clipped to a fencing wall.,0
A dog running through snow.,A dog runs in the snow.,5
people who are the technicians to maintain the robots.,"rslw: because they are horrible, fascist skin head brutes.",0
however my cash flow is better with them then without since the rental income more than covers the mortgages on them plus...,and the only reason they are there is because of insane student loan practices that are identical in everyway to the insane mortgage loan practices.,1
does this sound like the sensible option.,so what does this have to do with newt?,0
A soccer player in a red uniform just kicked a ball.,A goalie in a red uniform kicks at the soccer ball to protect the goal.,2
A man in red and black is hitting a soccer ball with his head.,A man in a red striped soccer shirt heads a ball.,2
Four black dogs run across the grass.,A dog runs across the grassy field.,1
A brown dog is walking on the grass.,A dog chases another by a tree.,0
i wouldn't pay for extra lessons unless he wants them and is prepared to practise!,"i wouldn't say it's racist, just insular great thread.",0
"for bigger stuff eg mortgages etc, if you are going to have problems paying you need to let them know asap.",it sounds like you are going to have a really busy weekend without going to work anyways...and,0
tlhe doctor told me that a painful muscle is a weak muscle and apparently she was right.,the problem is that this man was violent and abused me beating me and generally hurting me.,0
order to prevent self incrimination.,"there has to be a present risk of harm, editec.",0
"some seniors also work beyond ""retirement"" age.",it is also very easy to target and mock.,0
more often than not ows protestors are targeting their peers on the street rather than anyone who has committed any actual wrong doing.,if someone visited the us and went to la they might have a different perception of the us than someone who visited and went to new orleans.,0
ows has already launched the class war into the consciousness of millions of americans.,"of course they are because without the ""expansion"" they have no argument.",0
and why should cops have to accept less benefits?,and you have a problem with this?,0
"websites such as thewebfairy.com,",either way makes as much sense as the other.,0
it must be nice to not have a conscious..,until i know the facts i won't make a decision.,0
feeding a few people now is not going to fix any of this reality.,so feeding these people now so ten times as many suffer in the future is more kind and humane?,1
i learnt the hard way what the human shoulder is capable of and what it is not.,they are also part of the british commonwealth - see what it did for them.,0
‚ÄėGlee‚Äô star Cory Monteith found dead in hotel room,Cory Monteith found dead: Canadian ‚ÄėGlee‚Äô star was 31,3
Comedy actor Felix Dextor dies aged 52,British comedian Felix Dexter dies of cancer,3
"Lebanon's PM forms 'unity cabinet' Lebanon's prime minister has formed a cabinet more than 10 months after taking office, taking in a wide range of political groups after bridging serious divisions am","BEIRUT: Lebanon's prime minister formed a cabinet more than 10 months after taking office yesterday, including a wide range of political groups after bridging serious divisions among them mostly over",4
Al-Qaida suspects bomb oil export pipeline in Yemen,Al-Qaida gunmen take over military base in Yemen,0
"2 killed, multiple wounded in Miami shooting","Three killed, five wounded in Myrtle Beach shootings",0
Iranian president makes debut on world stage,Iran presidential candidate says western sanctions should be broken,0
"Iran has 18,000 centrifuges, 10,000 operating","Iran has 18,000 centrifuges, 10,000 already active",4
London Marathon runners honour Boston victims,London Marathon observes silence for Boston victims,4
Warmth -- This is after all why you are buying the bag.,The key factors are going to vary from person to person.,0
The main reason it's buried is to keep it from washing into water supplies.,Actually it's looking like Bio-charing the waste is going to be the best option.,0
"Different parts of California have different wildlife, so you should probably narrow the region.","American black bears They are somewhat common in some wilderness areas of California, mostly in the mountains.",0
"To actually load a person onto a boat, try a parbuckle.","If there is another person person onboard, have them do nothing but watch the person in the water.",0
Muslim Brotherhood formed 'military wing': Egypt,"Egypt declares Muslim Brotherhood a ""terrorist group""",1
Israel to release Palestinian prisoners,Israel Releases 26 Palestinian Prisoners,3
Iran gets first presidential TV debate,Iranian media praises heated presidential debate,1
Michelle Obama To Star In Parks And Recreation,Michelle Obama to appear on 'Parks and Recreation',4
"however, there is no drama that he was involved with anna chapman or any other honey pot involved with russian or us mafias.","police are convinced that there are people who know something, but no one has come forward with any information.",0
saying that people in the us aren't concerned with global warming and are selfish is just dumb.,"looks like pat robertson is now concerned about global warming, and taking it seriously.",1
"don't really have any advice to offer, just trying to help.",i didn't realize the casualties were that high this year.,0
I would consider using OSM as they are available for garmin devices.,I'm going to say that fit is one of the most important elements.,0
So there is a known reason for the order not to drink tap water.,If you are being asked to boil water it has a biological contamination.,1
I follow a paleotic diet (which is gluten-free) for fairly similar reasons.,"First, sorry to hear the diagnosis, but you are not alone.",0
So it's important to have a basic understanding before you even get on skis.,Skiing is a sport where taking lessons pays off very quickly.,1
A young pitcher is throwing the baseball.,A brown dog is walking on the grass beside a fence.,0
Two black and white dogs running in a field.,A black and white dog jumping into a swimming pool.,0
The beagle is walking on the beach at the waterline.,A beagle walks along the calm shore.,4
A black dog is biting a light brown dogs ear in a playful manner.,A black dog playfully bits another dog in a living room setting,3
Poll: Cory Booker takes early lead for N.J. Senate,Nigella Lawson 'took cocaine every day for a decade',0
Car bomb kills at least 30 north of Syrian capital,Car bomb kills at least 10 in central Syria,1
Indian rape accused face verdicts,Indian rape accused found guilty,2
Syrian Opposition Mulls Participation in Peace Talks,Syrian opposition confirms participation in peace talks,3
Egyptian military spokesman denounces incitement against army,Labor ministry announcement due on Monday,0
Snowden sees 'no chance' for US fair trial,"Snowden sees ""no chance"" to get fair trial in U.S.",5
Headlines in major Iranian newspapers on Dec 30,Headlines in major Iranian newspapers on July 6,0
Iran nuclear deal agreed at talks,Iran Nuclear Deal Sealed After Decades-Long Dispute,2
A boy is jumping into the water with a ball in his hand.,A little boy swimming underwater with a toy in his hand.,1
A man is holding a bus pole in front of a building.,Three pole wait for a bus outside a building.,0
"Two boys show off their stained, blue tongues.",Two boys with wearing baseball caps are sticking out green stained tongues.,1
A boy is blowing bubbles,A boy in blue is blowing bubbles.,3
"Egypt courts hear cases against Mubarak, Islamists",Egypt court temporarily releases Mubarak over illicit gains,1
"Bartoli wins Wimbledon title, beats Lisicki in 2",Bartoli routs Lisicki to win Wimbledon tennis title,4
Beijing's Aircraft Carrier Returns from South China Sea,China sends carrier to South China Sea,1
BlackBerry open to sale,BlackBerry loses $965M in 2nd quarter,0
here is what you should have asked layton...,they didn't even have a train station...,0
cons: you have to pay the 0.5% funding fee.,if i have to say it a million times….i,0
"in the great debate over newt and his love life, people keep bringing up the case of clinton.","i don't know if this goes for people generally, but that was how g went.",0
his ratings don't match that claim.,she continues to get death threats.,0
There are a few differences between the SOT kayaks and a touring kayak that you'll want to consider.,I would recommend checking out something like Hobie's Mirage pedal driven kayaks.,0
Imsodin's answer is good and covers a lot of good points.,"I am not entirely sure, but I think you are referring to boots like the La Sportiva Nepal.",0
"In average to less than average physical shape, I'd say that is pushing it a bit.",Can you do some local training hikes on similar terrain before heading out there?,0
Probably the best thing you can do to acclimate to the cold is to live in it.,Acclimatization isn't purely psychological; it is actually a physiologically different response based upon recent exposure and experience.,0
underachievingt lazy americans need unions.,turning american against american is just wrong.,0
"if you made over a certain amount, you didn't get the bush rebate.","these people are not better than you, don't see them as scary.",0
that's why their country is booming and ours is going down the toilet.,her: your brother's in the hospital and he's not going to last the night.,0
my side did this; your side did that.,where did i say it did?,0
Desmond Tutu pays final respects to Mandela,South Africa prepares to bury Mandela,1
Aung San Suu Kyi makes presidential push,Aung San Suu Kyi for president in 2015?,4
New Zealand set to legalise gay marriage,New Zealand votes to legalise same-sex marriage,4
UK vote rejects military action,Britain rejects Syria military action,3
National Conference on Economy set for end of May 2014,National elections set for 7 May 2014,0
Star pupil stabbed to death by gang,British tourist trampled to death by elephant,0
Israel finds bodies of three missing teens in West Bank,Israeli forces detain 5 Palestinians in West Bank,1
Easy Rider star Karen Black dies aged 74,Easy Rider Actress Karen Black Dies Of Cancer,3
French president meets bidders for industrial jewel Alstom,French-Made Warship Destined for Russia Sets Sail,0
Six US soldiers killed in aircraft crash in Afghanistan,Six U.S. soldiers killed in helicopter crash in Afghanistan,3
Suicide truck bomber kills 11 in northern Iraq,Suicide car bomb kills 12 in northern Iraq,3
China yuan weakens to 6.1559 against USD,China yuan strengthens to 6.1767 against USD,1
Activists: Syrian airstrike kills 21 in Aleppo,New Syrian Airstrikes Kill at Least 15 in Aleppo,3
Hernandez double gives Mexico victory,Hernandez double gives Mexico victory over Japan,3
Rights lawyers harassed as China hails rule of law,China Rights Lawyers Harassed by About 200 Thugs,3
News is my Business,A New iPad Is Coming,0
"nor should the jury be interpreting the nature and scope of the tort - again, that is a question of law.",the entitlement gravy train is off the tracks and out of gravy.,0
>>>> not looking for support.,know what im talking about.,0
"nah, he just doesn't allow himself (or herself?) to be intimidated by the noisy right.","his mother wouldn't allow it, she wanted to have it at her house, which was fine.",0
vouchers don't improve schools they just provide another alternative for a limited number of students.,"your chest does not touch the walls, you just lean into the place where the walls meet.",0
Sleeping pads: I was on a motorcycle trip with very little storage space.,"Tent: A 2 person tent divides up really well between Tent/rainfly, and poles/groundcloth, a 4 person tent breaks down each component even more.",0
I wouldn't buy an ultralight tent if you're going to put the tent through severe trauma or require significant space (e.g.,I have bought the Copper Spur 3 and slept in it now on a cottage lawn and on a backcountry campsite.,1
"If it's honeydew, then soap & water should do the trick.",From experience with small sections I have used hand sanitizer and it works.,1
"I believe the threads are generally compatible, BUT that's not the issue.","I first bought a MSR Fuel Bottle (325 ml, aluminum) for packing denatured alcohol for my Trangia stove.",0
"they need to be funded and organised on a state-wide basis, these tiny school districts make no sense.",he's been selected for the 2nd year running to go to a 'workshop' day at the local secondary school which specialises in science.,0
"using that range, you would see we are currently way outside the norm.","as a bank manager, you would expect him to have made a will but people are strange and he may not have done.",0
"whereas the continentals trade primarily among themselves, england has global trading partners.",they are killing themselves as a politcal force.,0
they're faced with bloody horrific in your face proof that they're wrong and they ask silly childish questions about millisecond anomolies.,there are 364 other days a year to protest the war and the lack of respect shown does not reflect well on our local peaceniks.,0
everyone in our society gets a voice.,even if you do it by pretending it doesn't exist.,0
"currently none of the procedures i have been recommended for are on the no go list, but it exists.",not to mention the meddling we have been doing inside iran for the past 100 years or so...,0
"lemme change her real quick for you.""",maybe america isn't the place for you?,0
"if they have made peace with their pay, then there is no reason you should not be at peace with their pay as well.",the debate is whether or not a new mosque should be built at that very location.,0
The black dog is running on the grass.,The German shepherd dog is running through the snow.,1
A yellow car speeds along a snowy field.,A yellow car drives quickly in the snow.,4
A black dog jumping into a lake.,A black dog runs very fast in a field in a park.,1
A child playing in water.,A child in water.,3
They should be rewarded for good behavior in the process of learning the good behavior.,There are those who feel that rewards are just as counter-productive as punishments.,1
I know of no firm evidence indicating that baby talk is either helpful or detrimental in language development.,"Baby talk, when used correctly is beneficial to speech development.",1
"I've always used the 1-2-3 countdown method, but as stated in the chosen post, this requires training.",I have never worked out how to get a child to listen first time.,1
My opinion is to wait for the child to ask for it.,"I really wanted my ears pierced, but my parents said I had to wait until I was 10 years old.",0
"it seems like if a candidate went to a state, and said, ""i hate all of you.","it seems like every time i make any decision with money he has a friend telling him to not be a little ""bitch"".",0
when i was done i would either flush or drag them around the house.,in no way was he better on the question of the war than johnson.,0
"this seems to come up a lot as well, as a matter fo fact countries were better off under british rule..bring",they used their puppet governments of the shah and saddam to control the countries to counter soviet influence in the region.,0
Syrian opposition offers Assad truce in Homs for duration of Ramadan,Syrian opposition offers Assad's forces truce for duration of Ramadan,4
At least 20 dead in Somalia attacks,At least 60 die in Iraq prison attack,1
U.S. to release info about Syria‚Äôs chemical weapons use,US believes Syria used chemical weapons but says facts needed,3
Pakistan troops move against Taliban,Pakistani Army Starts Offensive Against Militants,1
A man stands in front of snow covered mountains.,A man skiing down a snow covered mountain.,2
A girl wearing a pink coat splashes in rain puddles.,A girl in a pink jacket is walking through a large puddle.,4
A dog jumps over a chain.,A dog leaping over a chain.,5
"Little girl and older male, holding hands and walking on train tracks.",The little girl in the blue dress is walking with a man along a railway track.,3
"Since you're allergic, what sort of detergent do you use personally to prevent negative reactions?",My daughter used to have a reaction when we used normal detergents.,1
I would suggest you to look into baby sleeping bags.,We have allowed our boys to use afghans at night since about 9 months old.,0
"Praise is a wonderful motivator as long as the praise is for the ""right"" things.","I've actually heard the opposite, at least for younger kids.",0
I actually involved my Daughter in with helping me and my son when he was born.,I think it's important that you make time for the older child so they don't feel neglected.,0
If the child falls and cries unusually then make sure to check.,A friend told me it's when they are silent that there is a problem.,0
Another strategy is to survey the nursing staff at the hospital asking who they use for their children.,"Aside from asking people with children for recommendations, try asking an OB/GYN.",0
"As a teacher and a recently back to work mom, I think there are more cons than pros.",The fact that she played with her toys for 3 hours indicates that there is NOT anything physically wrong.,0
Both of my kids have some form of lactose intolerance.,"Same here, except we are dealing with milk protein which means not even lactose free milk.",1
"""smart"" anything is a bit of a reach for him.",i think newt has been the most accurate and forthright.,0
now he has collaborated with thomas peterson and jr the liar you are.ohn,"now, i've actually read the responses, and also agree with dlowan.",0
why was it changed later?,who's got a better one?,0
imagine if rdean knew how to build an intelligent op only six percent of posters will read that entire article.,"i take it you did not hear the racist motherfuckers applauding during her story, all the while not knowing what she had to say at the end only six percent of posters will read that entire article.",0
A dog leaps out of the water towards shore.,a tan dog jumping through the water towards the shore.,4
A young boy is running a race.,A boy runs in a race while onlookers watch.,3
The girl in a pink coat and pink boods is wading through a puddle.,A girl in a pink jacket is walking through a large puddle.,4
A black dog walking through water.,Two black dogs walking through the snow.,2
"We use the 1.2.3 rule, and I'm a computer programmer, and my oldest son (6 years old) loves math.","We really tried avoiding 1,2,3 with our son, preferring time outs, but time outs just weren't that effective.",1
"As other people have said, it sounds like your parents did you a disservice by not preparing you correctly.",I don't think you should be afraid of this conversation at all.,0
According to Web MD a seven-year-old should get about 10 to 11 hours of sleep per day.,I have the same problem with my 7 year old son.,0
My son didn't become potty trained until about his 4th birthday.,Here are some things that worked with my son who started toilet training around 2.5 years.,1
bill clinton got a blowjob in the oval office.,"that was also about a blow job, of course.",1
some just want america to fail.,he just doesnt get it.,0
he's a very smart man.,haven't heard about that.,0
silly me i didnt total how much but it was about 4 debts in total and i am sure it must have been about 5k in total.,"my purpose here is not to rabble rouse, but to have a meeting with like or similar minds to discuss what has been and is going on.",0
I would think of this as a gift that your son has.,"Quite simply: stop doing it, stop letting the siblings and grandparents do it.",0
"My daughter, also 10, tends to have great plans but no follow through.","I don't think there a games the specifically do this, however most games will lend themselves to this skill.",0
I know for a fact that sucking the lower lip does cause a bulging misshaped blob on the lower lip.,"I can't scientifically debunk the myth you mention, but I've never heard of it and I don't think it's true.",0
Be honest about how everyone has flaws and makes mistakes.,A good question might be some things not to buy.,0
Is it possible that you gave up swaddling too early?,I had a bedtime routine and followed a 3 hour cycle for my infant (at the time newborn).,0
"This is anecdotal, but: One of my cousins had a similar problem when he was a child.","As the comments have said, don't be afraid to ask your pediatrician about it, since it worries you.",0
"When a baby cries, it gets more and more worked up.",The fact that she played with her toys for 3 hours indicates that there is NOT anything physically wrong.,0
I evaluate based on what my parents did or didn't do.,"If you are asking the question, then that's all that matters.",0
Morsi's supporters reject plan,Morsi supporters march in Egypt,1
Austrians Vote in General Election,Algerians Vote in Presidential Election,0
Radio: Israel set to increase Palestinian prisoner release,US: Israel to delay Palestinian prisoner release,1
"Israeli forces detain 18, injure Bethlehem teen","Israeli forces shoot, injure Bethlehem teenager",2
Children are playing on a trampoline in the snow.,Several children and jumping on a trampoline in the snow.,4
A small dog runs through a field.,Two dogs run through a field.,2
The man is standing on the shore hitting a ball with a paddle.,Two teenage girls are standing on beside the beach listening to ipods.,0
A black dog is playing in the snow.,A big black dog bares its teeth while running through the snow.,3
adhere to stereotypes perpetrate a negative/unform view of the lgbt community.,"people need to keep campaigning, keep visibilty and portray a positive image of the lgbt community.",1
"if someone isnt interested in making the max amt of money he can, fine.",neocons have been mistaking the elephant's shit for the elephant.,0
i put the words they probably said...,yet they kick the uk out the embassy...,0
"as he does correctly point out, the space program does provide us with technology, some of which deters war or even prevents the threat of war.","as thomas correctly pointed out, a great many people could and would be replaced by technology if this were the case.",0
Let him know that you love him very much and that you have rules for his betterment.,"Tell him: Father is not only a title, its a job.",0
My 13 month old son has been transfixed by the TV since day 1.,Some of the other answers seem to address older children.,0
It's difficult for everyone when a child is fighting sleep.,We're soon to be moving our son from his toddler bed to a full sized bed.,0
"From my own and others' experience, I'd say around 6-9 years of age is the time when they figure it out.",Some things to try: Remove all chocolate and mint from her diet.,0
"Men tried to behead soldier on London street, court hears",Australia spied on Indonesia president: reports,0
Syrian rebels target military airports,Syrian troops confront fierce attacks by rebels in military airport,1
China quake leaves dozens dead,China quake kills at least 179,4
Toronto mayor Rob Ford in extraordinary crack cocaine confession,Toronto Mayor Rob Ford: Claim he tried to buy crack video 'an outright lie',1
Kerry Returns to Vietnam's Mekong Delta as Top U.S. Diplomat,"Kerry Returns to Vietnam, Now as Top US Diplomat",3
Ukraine protesters rebuild barricades,"Putin speaks on Ukraine, protesters rebuild barricades",3
Mel Smith dead at 60 and UK mourns a comedy favourite,Griff Rhys Jones: Mel Smith was 'a force for life',1
Woman arrested in connection with damage of sculpture at Changi Airport,Woman arrested for intrusion into Kinetic Rain sculpture at Changi Airport T1,3
our nation as (they?),how long ago was this?,0
relate is not just about keeping a couple together.,"you're not stupid, just young and vulnerable.",0
we seem to have lost sight of the meaning of the whole thing...is,he was the first speaker of the house in history to be fined.,0
how the hell was this allowed to happen for over 10 years?,my marriage has finally ended after 20 years.,0
"your only source of nutrition comes from ""sweet & low.""",or is fox news your only source of information?,0
there will be a regional summit in jone.,they all are/were on some level.,0
"i did, however, keep in contact with his mistress, as much to get answers to my myriad of questions as to keep an eye on her.","i believe that the president has too much ego to allow himself to be a total puppet, though there is an element of that.",0
Palestinian diplomat dies in Prague blast,Palestinian diplomat killed in explosion in Prague,5
15 dead as Egypt police disperse pro-Mursi camps,'15 killed' as Egyptian forces clear pro-Morsi camps in Cairo,3
Syrian opposition sets Assad's departure precondition for Geneva talks,Syria opposition agrees to Geneva peace talks,1
N Korea test-fires 30 short-range missiles,N. Korea fires short-range missiles,3
Powerful quake strikes off eastern Indonesia,6.6-mag quake strikes off eastern Indonesia,3
"Brazil in talks to hire 6,000 Cuban doctors","Brazil hires 4,000 Cuban doctors",1
Kenyan forces caused mall collapse,Official says Kenyan forces caused mall collapse,3
Eleven die in clashes in Lebanon's Tripoli,Soldier and civilian killed in clashes in Lebanon's Tripoli,3
i believe in multiple sources of energy.,i believe this to be a case of apples and oranges.,0
"the tax cuts were not for the middle class, on earned income.",that's you lost in the last sentence!,0
i found christians against poverty were amazing and so so supportive so i would recommend them.,i think californias might have shown that there is a lot of support for this research.,0
and we all know why the faux news zombies are searching for brains!,all the sanctions is affecting ordinary iranians!,0
Cover the entrance to the doorway with a old carpet and use a staple guns to secure it.,I started to dig into this because you caught my curiosity itch with the question...,0
As long as it's not completely sealed air will get in.,Covers are also there to prevent things from getting in.,0
Teaching a retrieve is a great example of when you can use backchaining to get your desired effect.,The answer on backward chaining was very good and I would like to suggest an augmentation to that approach.,0
We never gave our foster pup (who LOVES to chew) rawhides because we've heard that they're dangerous if they splinter.,In my experience the benefits of chewing raw or smoked bones far outweigh the draw backs.,1
President mourns death of Mandela,World mourns passing of Mandela,2
Israel agrees to release Palestinian prisoners,Israel to free 104 Palestinians in peace talks: PM,3
Israeli teens missing in West Bank,Israel finds bodies of three missing teens in West Bank,2
Palestinian diplomat dies in Prague blast,Palestinian envoy killed in Prague blast,4
Pyongyang proposes weekend talks with Seoul,Pyongyang prepares for next nuclear test - media,0
Palestinian diplomat hurt in blast,Palestinian ambassador injured in apartment blast,3
Five People Charged With Terror Offences,British Police Charge Two Men with Terror Offences,1
Tokyo stocks close up 0.13pc,Tokyo stocks close 0.75pc down,1
Death toll in Lebanon bombings rises to 47,Death toll in Turkish bombings rises to 46,0
EU adds Hezbollah's military wing on its terrorist list,EU put Hezbollah military wing on terrorism blacklist,5
Rogers hires Vodafone UK chief Guy Laurence as CEO,Rogers names Vodafone UK chief as new CEO,3
"Two blasts near Iranian embassy in Beirut, 7 killed",Blast near Iran embassy in Beirut,3
Iran says ready for fresh round of nuclear talks,Iran's Khamenei renews support for nuclear talks,3
Clashes continue between police and protesters in Turkey,"Turkish police fight protesters, clear square",4
Those refused medical cards urged to contact HSE,HSE boss defends medical-card plan,1
"Five dead, 40 missing in Canada train disaster","Five dead, 40 missing in Canad...",3
A group of men walk and hang onto ropes.,A group of men play a college football game.,0
A dog is leaping through the grass.,A dog running through the water.,1
Kids play soccer on a field.,Three boys playing soccer in a field,4
A boy runs past a group of people with balloons in a race.,A boy runs in a race while onlookers watch.,3
"i still miss her terribly, even though there were times when i felt i never wanted to see her again.","sorry if this sounds silly, but it's the first thing that sprung to my mind when i read how you wanted to ring her.",0
so they can cut taxes for overpaid rich folks?,so go ahead and process that for a while.,0
i can't even put it into words.,i went out & found new friends.,0
"to begin with, there is no such world police which would itself refrain from killing whom they want.",problem i see is not the color of people that live in here and not from where they come.,0
There are a few things to help your bun gain a bit of weight.,John Cavan has some reasonable and appropriate methods for increasing a rabbits weight in his answer.,1
I've found that having existing tartar on the teeth is the worst culprit for stinky breath.,Try to wash the food bowl and the water bowl.,0
"Sadly, you can't communicate to the female ""hey its only play... he actually likes you"".","To be honest, I think you're asking the wrong question.",0
Stocking is very subjective to the specific inhabitants as well as the setup and your aquarium experience.,You'll always want to add fish into a tank slowly.,1
"in theory, one could argue that the computer models are accurate, and that the real measurements have some problem.",in that speech he claimed the murder rate in flint michigan had more than doubled already.,0
"you are right billw lol that's funny, i love karma, it's fun sometimes.",2) so you are saying that it wasn't worth it if it went over a certain cost.,0
"dh has not been asked to give a statement, and we assume nor has the cabby.",she used to go with my grandad but sadly he passed away in may this year.,0
the old obama did it.,neithe of those things is true.,0
Up to 19 firefighters missing in Arizona,Wild fire kills 19 firefighters in Arizona,1
Suicide attack kills eight in Baghdad,Suicide attacks kill 24 people in Baghdad,0
"Tehran-London ties to improve, Afkham",Tehran-London ties to improve,3
Syrian opposition agree to landmark peace talks,Syria opposition pressed to attend talks,2
"Odds are, the cat's as wary of you as you are of her.","Another option: If this cat tends to be rather vocal, she may just want to have a ""conversation"" with you.",1
"Neutered cats may, or may not, consider it less important to go outside and examine/defend their territory.",He is probably doing this to show his disapproval of you leaving for work everyday.,0
Another alternative for feeding pills is to just put the pill in the rabbits mouth.,I would suggest finding a compounding pharmacy and talking to someone there.,0
I agree with Beo and Zaralynda... both are good advice.,We have a Norwegian Forest Cat who often gets mats and into plenty of messes.,0
Facts about North Korea's Musudan missile,North Korea fires another missile,3
Poverty stats doubt Modi's development claims,GM to start taking recall compensation claims Aug 1,0
Pro-Russia rebels to hold vote in Ukraine,Syria rebels: We killed Hezbollah men in Lebanon,0
Georgians vote for new president,Ally of Georgia's billionaire PM to be president -exit polls,1
"Obama, Hollande discuss response to alleged chemical weapons use in Syria",US intelligence still indecisive whether chemical weapons were used in Damascus suburbs,0
Wall Street dips as impasse in budget talks puzzles investors,"Wall Street rises at open on data, Washington eyed",1
Mandela in ‚Äėserious but stable‚Äô condition,Mandela in ‚Äėcritical but stable‚Äô condition,5
"What the Papers Say, Nov. 19, 2013","What the Papers Say Sept. 26, 2013",1
"but they have new truck every year, a huge custom and all their kids dive nice cars and go to state collages.","but whatever happens, we need some national truth-telling, and we need to stop calling ""them"" the problem.",0
or maybe just a commutation of sentence like for scooter libby.,it may be a question of magnitude once again.,0
wanted to know if a bracelet i had listed at $14.50 was sterling silver.,"and now it appears that there was a second one, that is now being uncovered.",0
"police are convinced that there are people who know something, but no one has come forward with any information.","and if we continue to be a nation that allows sex with anyone, any time with anyone.",0
Asian shares higher on Fed signs,Asian shares climb ahead of Fed decision,4
Two French journalists killed in Mali,Two French journalists killed after Mali kidnapping,3
2 Indian traders stranded in China sent back home,46 Indian nurses stranded in Iraq return home,1
"Ukraine protest leaders name ministers, Russian troops on alert","Ukraine says it will not bow to Russian ""provocations"" in Crimea",1
Israelis and Palestinians aim to negotiate a 'final' peace deal after positive talks,Israeli army kills 3 Palestinian militants in West Bank clashes,1
"Two dead, more trapped in latest Mumbai building collapse",Two are trapped as US building collapses,0
China yuan weakens to 6.1559 against USD,China yuan weakens to 6.1818 against USD Tuesday,2
Air strikes kills dozens in northern Syria,Ukraine will not give 'an inch' over Crimea,0
Chinese tourist abducted from Malaysia,China returns 10 children abducted from Vietnam,1
Man United Says Moyes Leaves as Manager,Man United hires Moyes to replace Ferguson,1
Japanese politician apologizes for sex comment,"Japan mayor apologizes to U.S., denies wrong words on ""comfort women""",3
"Tropical Storm Barry forms off Mexico's coast, bringing heavy rain as it heads toward Veracruz","Tropical Storm Barry weakens, dumps rain on Mexico",2
"""To cause"" means that there is an unbroken chain, ordered in time, that links from cause to effect.","The meaning of ""cause"" is very vague, it is a human term, not a scientific term.",1
Well for one a being could have a non-physical existance and yet not even be in your mind.,"The difference is huge, as not all non-physical things exist in minds.",1
"In structural terms, the second sentence isn't incorrect, you just read it incorrectly.","As the t isn't mentioned in the part of Fever(x), we can push it inside.",0
You don't write a dictionary first and then tell people to learn it.,No given dictionary for a language completely describes that language.,1
i don't actually give two figs what minimum wage does for or against the economy.,the idea of regular increments to minimum wage is a good one - for businesses to cope with them.,1
common sense tells us that bankers that have to sell their third vacation home are the one's with entitlement issues.,however my cash flow is better with them then without since the rental income more than covers the mortgages on them plus...,0
should we be talking to someone about this?,wtf are you talking about?,0
thank god for the 99%ers' they seem to understand the system is rigged.,then i found others that countered what she said.,0
they spent more time touring london than seeing us and the twins.,the court must take into consideration the technology of the times in their ruling.,0
they were reserved for adults.,they have been brainwashed by fox and/or rush.,0
